 [ e4 ]  [ e5 ]  [ N f3 ]  [ N c6 ] , [ B b5 ]  The Ruy Lopez also known as the Spanish Game. Or the Spanish Torture.
 [ e5 ]  [ N f3 ]  [ N c6 ] , [ g3 ]  Then from here I notice that he will not use that attack....
 [ N b4 ]  [ a3 ] , [ B x f3 ]  The right move doubling White's pawns. White might have played 7. Be2.
 [ R a c1 ] , [ b5 ]  !
 [ B x f5 ]  [ N f8 ] , [ Q h6 ]  Cobo's defences are crumbling fast.
 [ R e8 ]  [ B c5 ]  [ K g7 ]  [ B f3 ] , [ a5 ]  ! Black has only one real area of opportunity so he presses it. The [ N b8 ] now has a square to develop to. The next sequence of moves turns out to be pretty advantageous to black. There are 12 exchanges over the next 9 moves that brings black right back into the game. In replaying this game I simply can't believe how I let such a promising position get flushed right down the toilet. Many congratulations to ricardopr for engineering the bloodbath which follows! It really is pretty awesome......
 [ O-O-O ] , [ K g7 ]  good move to decrease the movement capability of whites queen.
 [ N h4 ]  [ Q h6 ] , [ N h f3 ]  a stupid attempt... to lose a tempo
 [ B c4 ]  [ R b8 ]  [ R f b1 ]  [ b3 ]  [ c x b3 ] , [ a x b3 ]  Black has given me a passed pawn on the a file. Now I just have to keep it.
 [ N x d5 ]  [ N x d5 ] , [ Q x d5 ]  He exchanges knights to bring my queen out early
 [ K d4 ]  [ c5 + ]  [ K c3 ] , [ N f6 ]  [ N f8 ] may have worked a bit better though it sounds strange by virtue of allowing h6. Of course if white responds with [ h4 ] preventing [ [ g5 ] ] from black black still needs to bring his king to the KS to support [ [ g5 ] ] but since white can't really progress his king regardless this plan may actually be fine.
 [ f x e5 ] , [ Q d4 + ]  whatever the odds [ Q c6 ] [ N x d7 + ] [ K e7 ] [ N f6 ] [ R x g7 ] [ R h3 ] [ R x g5 + ] [ B x g5 ] [ B x g5 ] looks more promising...
 [ B b6 ]  [ B b2 ] , [ d6 ]  and my bishop is free at last
 [ d3 ]  [ B d6 ] , [ h3 ]  Play this only if forced to and better as a response than profilactic... anyway it's in white's agenda.
 [ e5 ]  [ B x c6 ]  [ e x d4 ]  [ B x b7 ] , [ d x c3 ]  And the thing I thought would work better is. . . sacrifice my rook for a knight?! I'm now looking at a larger picture after losing my rook I can take the pawn at [ b2 ] threatening promotion and white's rook
 [ f x g5 ]  [ R x f8 + ]  [ K x g7 ] , [ Q f2 ]  The essential move in the combination.
 [ Q c4 ] , [ B x d2 ]  Because of White's dubious move I eliminated White's bishop.
 [ K f3 ] , [ f4 ]  to open some lines or to support the e pawn it all depends on white's reply
 [ B e3 ]  [ Q e7 ] , [ N c3 ]  you see now White's position is pretty good whereas Black's positoin is weeping his kingside is totally packed specailly his pieces do not finding good squares to go Black can castle long but he cannot do it so early as [ [ a7 ] ] pawn will hang plus white queen can threat any unwanted attack going to [ [ a7 ] ] and a8.
 [ N e8 ] , [ R x b7 ]  Winning a second pawn.
 [ B x d3 ]  [ Q x d3 ]  [ R e8 ] , [ a3 ]  challenging the black squared bishop. will he take or move?
 [ N e7 ]  [ B e3 ]  [ N f5 ]  [ B x f5 ]  [ e x f5 ]  [ b3 ]  [ a x b3 ]  [ Q x b3 ]  [ f4 ]  [ B d2 ]  [ B c8 ]  [ a4 ]  [ B e6 ]  [ d5 ]  [ c x d5 ] , [ Q x b5 + ]  I was considering [ N x d5 ] with exchanges but the Q move seemed the best
 [ K c7 ]  [ K a4 ]  [ N f7 ]  [ K b4 ] , [ N d8 ]  ! Still protecting [ f7 ] and preparing to throw a check if needed.
 [ c3 ] , [ d6 ]  The usual move here is 4. ...d5. The text is solid enough but passive.
 [ B d7 ]  [ R d1 ] , [ B b5 ]  !
 [ R e8 ] , [ N h5 ]  This will do! The beauty of it is [ g7 ] is undefendable due to [ R g8 ] [ N f6 ] !! Black is forced to take the pawn and I win 2 pawns for it to go 2 pawns up.
 [ e6 ] , [ e4 ]  at this point im thinking about getting one of those center pawns to the 5th rank
 [ a6 ] , [ R x d5 ]  ! Now the pawn can be taken with devasting effect.
 [ e5 ]  [ N f3 ]  [ d6 ] , [ B c4 ]  I like [ d6 ] as the black response. Makes it much easier for me.....
 [ B b3 ]  [ B e6 ] , [ R e1 ]  must play [ N d2 ] an free the queen side rook.
 [ R c8 + ]  [ Q d8 ] , [ Q f7 # ]  
 [ Q d3 ]  [ a6 ]  [ O-O-O ]  [ B e7 ]  [ g3 ]  [ O-O ]  [ f4 ]  [ Q c7 ] , [ B h3 ]  The obvious one was [ B g2 ] but it didn't give me any attack. The game is lost so I have to surprise my opponent. I am without any hope of course.
 [ N b8 ]  [ N f4 ]  [ Q d7 ] , [ O-O ]  The logical continuation was 16.[ c4 ] putting more pressure on those central pawns. Nothing wrong with 16.0-0 though.
 [ B e3 ]  [ R f d8 ]  [ R d3 ] , [ N d6 ]  Black is not quite ready to exchange rooks especially at the cost of fixing most of white's pawn troubles.
 [ O-O ]  [ O-O ] , [ B x c3 ]  Oops ! thrice a bishop move but making double pawns.
 [ f4 ] , [ R e d5 ]  28...[ R e4 ] 29.[ N x f5 ] [ R x f4 ] wins a pawn!
 [ R f3 ] , [ R b1 ]  I move back to attack b3!
 [ B x f8 ]  [ R e x f8 ]  [ K g1 ]  [ h6 ]  [ b3 ] , [ B c6 ]  I like my pawn structure at the moment.
 [ O-O ] , [ R a d8 ]  black can even play the sacrifice [ B x h3 ] here as white is so poorly developed
 [ K e3 ]  [ g5 ] , [ f4 ]  Also drawing was 50. [ g4 ] fixing the g pawn on a dark square so Black's bishop cannot defend it
 [ g4 ]  [ B x a4 ]  [ N x a4 ] , [ R x a4 ]  I didn't expect the knight-for-bishop trade while black is suffering such a pawn deficit. However it does eliminate my light-colored bishop who after eating the pawn at [ a4 ] was covering [ e8 ] where that pawn wants to promote.
 [ c4 ] , [ g5 ]  I need space! So I sacrifice a pawn hoping for open lines I can use.
 [ g x f3 ] , [ Q x f3 ]  I had thought this was a mistake considering that there was no way for Black to meet White's threat of winning the pinned Bishop - other than by going in for the perpetual check after the White queen moves (with ...[ Q d1 ] and ...[ Q g4 ] ) something I was perfectly content with given my positional difficulties.
 [ R f8 ] , [ Q f3 ]  Yes I see the check.
 [ d4 ]  [ d5 ]  [ e x d5 ] , [ e x d5 ]  The French exchange variation which leads quite often to a draw (37% according to the GameKnot "World" database).
 [ N f3 ] , [ d6 ]  4...[ [ d5 ] ] is better - this move wastes a tempo since Black will want to play ...[ [ d5 ] ] at some point anyway.
 [ e3 ]  [ d5 ]  [ N c3 ] , [ N e4 ]  A second move with the Knight forces me to be trade dark square Bishops but I've found that is usually good for White in the QGD.
 [ d6 ]  [ N f3 ]  [ d5 ] , [ e5 ]  I played [ e6 ] to get some asvantage (I think).
 [ B x b7 ] , [ R a b8 ]  ? It's very understandable why Sue moved here. But the problem is that it loses yet another pawn. Best was 10...[ R a7 ] and not only is the pawn protected but my B is attacked. So she does get tempo in return.
 [ B f7 + ]  [ K d8 ] , [ N c4 ]  Attacks the queen and moves a piece closer to the BK
 [ R a1 ]  [ R x c2 ]  [ Q x c2 ] , [ R c8 ]  The only advantage black can get but...
 [ N d4 ]  [ N f6 ]  [ e3 ]  [ N x d4 ]  [ B x d4 ]  [ B e7 ]  [ c4 ]  [ O-O ]  [ N c3 ] , [ c5 ]  No place to retreat the bishop so I'll have to trade it off. Hate to do that.
 [ c x b5 ] , [ c x b5 ]  I believe now this game can end in a draw
 [ b6 ] , [ B x c5 ]  Dangerous - it gives him attacking chances but I played this out a few times and think I can hold onto the pawn
 [ N f3 ]  [ a4 ]  [ N g5 ] , [ O-O ]  Here my opponent realized the danger and castled kingside which is even more dangerious.
 [ K c7 ] , [ N a6 + ]  It's bad to threaten my bishop with [ K a6 ] because the simple [ B c3 ] retreat wins immediately since [ K a7 ] is the only move that defends the knight then [ B d4 ] wins the knight.
 [ N x c7 + ]  [ K d7 ] , [ Q x f7 ]  He resigned here.
 [ R f c8 ]  [ Q e3 ]  [ K f7 ]  [ h3 ]  [ a6 ] , [ R c c1 ]  A Queen based structure
 [ R f8 ] , [ Q h5 ]  Was tempted to do [ Q e3 ] but this puts more pressure on the king's castled position.
 [ d4 ]  [ N b1 ]  [ B e7 ] , [ d3 ]  I was interested to see that you chose not to castle. I thought about moving my bishop [ e2 ] to [ c4 ] as you left a lovely gap. However In thought better of it since my black bishop and b knight were still hemmed in. I will continue to develop before attacking
 [ Q h6 ] , [ R f g8 ]  Also necessary.
 [ a6 ]  [ B x c6 ] , [ d x c6 ]  Exchange variation. It is quite good OTB (over the board) as black can generate lots of threats
 [ R f2 ] , [ Q e6 ]  ...Her Royal Highness.
 [ e4 ]  [ g6 ] , [ B c4 ]  White's plan is to solidly play in the center and avoid to much complications in the opening. Evan more solid would have been to first develop a knight.
 [ d4 ]  [ e x d4 ] , [ c x d4 ]  The last two moves leading up to this capture are good moves by white. White can now exert influence into the center without pawns in the way.
 [ b4 ]  [ e5 ]  [ B b2 ]  [ B x b4 ]  [ B x e5 ]  [ N f6 ]  [ N f3 ]  [ O-O ]  [ e3 ]  [ d5 ]  [ B e2 ]  [ c5 ]  [ O-O ]  [ N c6 ]  [ B b2 ] , [ R e8 ]  All the games begin here.
 [ Q h6 ] , [ Q c3 ]  Now for some reason I think about attacking the defended bishop to keep black's queen from taking my [ f4 ] pawn. I didn't give 28....[ f6 ] any thought whatsoever.
 [ g5 ]  [ h3 ]  [ h5 ]  [ g3 ]  [ N d5 ]  [ N x d5 ] , [ B x d5 + ]  The Bishop pair already exerting their influence across the board
 [ B e3 ]  [ B b4 + ]  [ N b d2 ]  [ O-O ]  [ B d3 ] , [ d6 ]  but the [ c8 ] bishop is not in the game. by that diference white has a great center.
 [ B e6 ] , [ B f4 ]  The fight for the [ e5 ] point has begun and whiteh will immobilise all his forces for this
 [ R e3 ]  [ N d7 ] , [ N e5 ]  Exchanging off the liability.
 [ B x g7 ]  [ R g8 ] , [ R b1 ]  17. [ R b1 ] - after this move there are just too many black pieces en prise and not enough white! After a final tot up I saw that there was no way I could avoid being a piece light so I decided there and then to wave the white flag.
 [ d4 ]  [ N f6 ]  [ N c3 ]  [ N b d7 ]  [ B c4 ]  [ e5 ]  [ d5 ]  [ B e7 ] , [ b4 ]  ? I wanted to stop [ N c5 ] .
 [ K f5 ]  [ R x h5 + ]  [ K f4 ]  [ d4 ] , [ g3 ]  Black has nothing.
 [ Q x h5 ]  [ B x h5 ] , [ N x g5 ]  So now I've lost my knight and sacrificed a bishop (for two pawns) and while black's kingside is demolished the only troops I've got over there are a bishop.
 [ O-O ] , [ N a4 ]  ! The knight is headed for [ c5 ] and it can;t be stopped. That was what 13.[ N x c6 ] achieved for White - there are no pawns to chase the knight away
 [ R g3 + ] , [ K f8 ]  The computer analysis of King to [ h8 ] shows a better outcome with [ f8 ] I leave my rook on [ a8 ] unprotected.
 [ N d4 ]  [ O-O ] , [ N x e2 + ]  I'm not sure how this exchange helps Blacks position. The bishop was doing very little.
 [ N e5 ] , [ N d6 ]  Uh-oh. So easy to see it now... :-(
 [ B g5 ]  [ N h5 ] , [ B c2 ]  Now [ d4 ] is a threat
 [ B f6 ]  [ R h1 ]  [ K f7 ] , [ B h5 + ]  Freeing the B with a check.
 [ Q c2 ]  [ d6 ]  [ a3 ]  [ B x c3 + ] , [ Q x c3 ]  So now the position is getting closer to the one I had calculated. I just need to prepare the [ e5 ] break to challenge the centre and then I'm happy.
 [ N x b7 ]  [ Q b6 ] , [ N c5 ]  First he takes the pawn then he attacks the bishop.
 [ d5 ]  [ c4 ]  [ e6 ]  [ N c3 ]  [ B b4 ]  [ B d2 ]  [ N f6 ]  [ N f3 ]  [ O-O ]  [ a3 ] , [ B d6 ]  This was a odd move. perhaps the bishop should have gone to [ e7 ]  [ B g5 ]  [ B e7 ]  [ h3 ]  [ N e4 ]  [ B x e7 ]  [ Q x e7 ]  [ N x e4 ]  [ d x e4 ]  [ N e5 ]  [ N d7 ]  [ e3 ]  [ c5 ]  [ B e2 ]  [ c x d4 ]  [ e x d4 ]  [ N x e5 ]  [ d x e5 ]  [ Q c5 ]  [ Q d6 ] , [ Q a5 + ]  Here i think black made well to not to exchange queens because [ d6 ] pawn could be dangerous.
 [ N b d7 ]  [ R a c1 ]  [ R c8 ] , [ R c2 ]  I want to double my rooks then rip up the c file.
 [ b3 ]  [ Q b5 ]  [ c4 ] , [ Q a6 ]  As now I have a solid pawn chain from a2-c4. That was also the idea behind attacking the Q.
 [ B x d3 ]  [ N f6 ]  [ N c5 ]  [ K c7 ]  [ b4 ]  [ N h5 ]  [ R h1 ]  [ N g3 ]  [ R g1 ]  [ N f5 ]  [ f4 ]  [ h5 ]  [ K d2 ]  [ g6 ]  [ a4 ]  [ R d b8 ]  [ R c1 ]  [ h4 ]  [ K e1 ]  [ h3 ]  [ B e2 ]  [ h2 ]  [ B f3 ]  [ N d4 ]  [ B h1 ] , [ b6 ]  DOH! 40. [ N a3 ] costs my rook for a knight
 [ Q d2 ]  [ K g2 ]  [ Q x c2 ]  [ Q x a7 ]  [ Q c6 + ]  [ K h2 ]  [ Q f3 ]  [ Q b7 ]  [ Q x f2 + ] , [ Q g2 ]  
 [ d4 ]  [ N f6 ]  [ c4 ]  [ e6 ]  [ g3 ]  [ d5 ]  [ B g2 ]  [ c6 ]  [ N f3 ]  [ N b d7 ]  [ Q c2 ]  [ B e7 ]  [ O-O ]  [ O-O ]  [ N b d2 ] , [ b6 ]  All the games start here.
 [ f5 ]  [ N g3 ]  [ Q h6 ] , [ K g1 ]  27. [ K [ g1 ] ] - Henry must go back to [ g1 ] to protect the [ h2 ] pawn.
 [ a3 ] , [ B x h6 + ]  That pawn on [ a3 ] isn't going anywhere soon so there is no reason to break up a defensible pawn structure with bxa3. Time to gobble a little more material with a little zwischenzug.
 [ e5 ]  [ N f3 ] , [ N f6 ]  Petrov defence. I always found that taking the pawn result in a good position for white
 [ g3 ] , [ h3 ]  ?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?
 [ K x d5 ]  [ R x e4 ] , [ K x e4 ]  At this stage black has good drawing chances as his king is very centralized.
 [ R x f7 ]  [ B x f7 ]  [ Q x f7 ]  [ N f3 ]  [ h6 ]  [ h4 ] , [ h x g5 ]  not good: Black is trying to force his way into Whites' position...
 [ N x f3 + ] , [ g x f3 ]  Now the menace of [ B h3 ] and [ Q g5 ] is here to stay.
 [ N c4 ]  [ N c3 ]  [ B c5 ]  [ b3 ]  [ N a3 + ] , [ K d3 ]  Check is not always the best thing. Black's king is actually better positioned now so if white DOES manage to sneak his king in and get both pawns black can quickly get his king to the other side of the board and start capturing pawns. Playing back and forth between the left and right is an important part of the endgame.
 [ e x f6 ]  [ e ] , [ p ]  Best is Qd2... Black can no longer play [ d5 ] due to Nc3...
 [ R a6 ] , [ R c3 ]  Rook goes behind the passer naturally enough...
 [ e5 ] , [ B e7 ]  Black chooses to lose his knight. Moving his bishop was a good choice because it allows the d-pawn to move.
 [ R c1 ] , [ R b8 ]  Perhaps dreaming of breaking with [ b5 ] at some stage?
 [ e x d5 ]  [ N x d5 ]  [ N x d5 ] , [ c x d5 ]  OK the trade is over ! White's knight can hardly be fired. White has developpement advance but has not castled and his king is weak.
 [ B x e4 ] , [ f x e4 ]  After the game my opponent mentioned he expected [ c x b4 ] followed by [ B x c6 ] [ d x c6 ] and axb4. That looks ok but this looks better with a promising open f-file.
 [ e6 ]  [ Q e2 ] , [ N b6 ]  Preparing to drive the advanced White Knight.
 [ B x g5 ]  [ f x g5 ] , [ N e3 ]  I'm not sure why he didn't play Nxb4. Maybe he's hoping he can check me on [ c1 ] and eventually win my bishop. I plotted out the course after 45. [ B x e3 ] [ R x e3 ] 46. [ e6 + ] [ R x e6 ] 47 [ R x e6 ] [ K x e6 ] several times. It looks like I can get his last two kingside pawns while he chases down the b-pawn and I can queen a pawn but maybe he plays 46. ... [ K e7 ] to just block that pawn instead of capturing it. I think I can do it but then I found an easier way.
 [ Q b2 ] , [ N c4 ]  After the game I realized that I was able to play right away 24. ... [ R x e2 + ] 25. [ Q x e2 ] [ R c1 + ] 26. [ Q d1 ] [ R x d1 # ]  [ e4 ]  [ c5 ] , [ d4 ]  I would've played 2.[ N f3 ] because that's what I'm most used to as I like the open variation. But I'm very used to the Morra Gambit as I have played against this even against ION.
 [ e4 ]  [ e5 ]  [ N f3 ]  [ N c6 ]  [ B b5 ]  [ a6 ]  [ B a4 ]  [ N f6 ] , [ d3 ]  I decided to play slow I guess lol
 [ Q g4 + ]  [ K f1 ] , [ N h2 + ]  Sets a trap: 19. Rxh2? [ Q x d1 ] .
 [ N f6 ] , [ e3 ]  3. [ e3 ] this is a passive move for what to adopt locking in the black bishop. But not bad per se.
 [ N c6 ] , [ d4 + ]  Looks like pawn check was final move of this magnificent attacking game... Not because I won but because my opponent's mistakes made this game attractive
 [ h4 ] , [ f5 ]  ...but now I can fork the knight and a pawn with my pawn...
 [ B c4 ] , [ b5 ]  I don't see the point in Jack attacking again. Although it could be from Glacoma as maybe he thought that this was the Noah's Ark with which my B would be trapped. But I have a couple of places to go as my next move will show.
 [ R e1 ] , [ R f3 f2 + ]  White moves rook along to [ e1 ] attacking bishop on [ e3 ] and black moves rook to [ f2 ] to check king supported by DB and knight.
 [ Q e4 ]  [ R f g1 ]  [ N h4 + ]  [ R g2 ] , [ R f3 ]  24. ...... [ R f3 ] and piling on the agony!!
 [ R c1 ]  [ N c4 ] , [ N b3 ]  She's reacting to all my moves. Something you shouldn't do unless forced.
 [ Q x a8 ]  [ B c6 + ]  [ Q x c6 ]  [ R x c6 ]  [ R f e1 ]  [ R c f6 ]  [ f4 ] , [ h6 ]  Otherwise white will hammer black's back-rank weakness.
 [ B e6 ] , [ N d5 ]  Clearly [ c x d5 ] loses to [ Q x c7 ]  [ K b1 ]  [ c x d5 ] , [ Q b5 + ]  I played this in preference to [ B a4 + ] as it keeps open the option of [ B x d5 ]  [ B d7 ] , [ Q x b7 ]  Possibly not the best Rh-[ e1 + ] might have been better
 [ f4 + ]  [ g x f4 ]  [ g x f4 + ]  [ K e2 ]  [ R d5 ]  [ K f2 ] , [ h4 ]  no way back: Black is winning...
 [ R x a6 ] , [ N d6 ]  Another 4th Knight move.The mistake we do when we are playing 30 games is that we tend to want to increase our rating at once.I play 10-15 games at a time and focus.Black seems to be distracted.You know online games are like that
 [ B x d4 ]  [ R x d4 ] , [ Q c8 ]  Trading queens is ok but I have a better move
 [ f x e4 ]  [ B x h4 + ]  [ B f2 ]  [ B x f2 + ] , [ K e2 ]  King can't take the bishop without loosing the queen.
 [ N x e5 ] , [ B e2 ]  The exchange of this bishop will leave Black controlling all of the important light squares especially arouind the White King.
 [ B g6 ]  [ R e1 ]  [ N d7 ] , [ N g3 ]  The plan is to move the knight to the nice [ f5 ] square. White is slowly building his attack while Black is developing and defending. It seems as if Black holds for the moment.
 [ g6 ]  [ B d3 ]  [ B g7 ] , [ f4 ]  5. [ [ f4 ] ] - standard developing moves and the push to [ [ f4 ] ] make this the 3 pawns attack variation of the Pirc as pointed out to me by my opponent.
 [ B d2 ] , [ Q d1 + ]  I move my only piece the DB. to [ d2 ] to get on the diagonal and black's queen comes to [ d1 ] to check the king and with the rook at [ f8 ] I know that the game is up and its time to give in to black's unquestionable superiority.
 [ N f d5 ] , [ Q e4 ]  And I try to relieve pressure prematurely here post-hoc computer analysis has instead White DSB x b6. Seems decent enough hell would have broken loose and I would have had a rook in the center of the board by itself but still be down 1 pawn.
 [ R c2 ]  [ R d1 + ]  [ K g2 ] , [ R b1 ]  Black attempts to keep the QNP on the board.
 [ f6 ] , [ Q b3 + ]  To create a passed pawn on e6.
 [ N x b3 ]  [ d x c3 ] , [ Q x c3 ]  I took the pawn with queen because I didnt want to spoil my pawn structure.
 [ B x d5 ]  [ N x d5 ]  [ Q d3 ]  [ N d7 ]  [ N e4 ] , [ a5 ]  Securing [ b4 ] but more importantly getting out of the line of fire so the black rooks can get more active on the open files.
 [ B g5 ]  [ B e7 ]  [ e3 ]  [ B b7 ] , [ c x d5 ]  wanting to block the a8-[ h1 ] diagonal.
 [ N x d4 ]  [ B x d4 ]  [ e5 ]  [ f x e5 ]  [ d x e5 ] , [ B e3 ]  Winning the pawn on h3.
 [ h4 ] , [ R a b1 ]  His c pawn is pinned to his king so if I advance my pawn and he exchanges I get a rook in a dominant position.
 [ Q x e2 ] , [ N x d4 ]  Sac 2: The Knight!!
 [ K e3 ]  [ K e6 ]  [ N b4 ] , [ N b7 ]  I offered a draw again which my opponent accepted.This is not the most exciting of my games but this excited me.I beat a 1760 but he blundered a rook so this was first blunder-free(no horrible blunders were made) non-loss for me.
 [ Q h7 + ]  [ K f8 ] , [ K b1 ]  better safe than sorry; Black has some annoying checks...
 [ g4 ]  [ N f d4 ] , [ B e4 ]  Now I spent a lot of time thinking about f2-[ [ f3 ] ] even in answering g4-[ [ g3 ] ] and if [ [ f3 ] ] takes the bishop in [ e4 ] g3[ x h2 ] my queen can go to [ [ g3 ] ] and then my rock supports it... anyway a lot of garbage because...
 [ B g4 ]  [ R x b8 ]  [ B x d1 ]  [ R x b7 ]  [ c2 ] , [ R c7 ]  And now the question is: Am I winning?! The c-pawn can go nowhere and now I have two choices which should lead to victory: 1) protect and push the d pawn; or 2) abandon it and exchange the knight for the bishop and c-pawn giving me a won rook pawns v. knight pawns endgame. Gm_dursley was off-line at this point which gave me time to play through both lines. In the end I chose the former which I believe is the more difficult but leads to the quicker win.
 [ Q c2 ] , [ R c8 ]  Although black is down two pawns I have finally regained the initiative; white has no playable checks.
 [ B c4 ]  [ B e6 ]  [ B x e6 ] , [ f x e6 ]  Now White can claim some advantage from the doubled pawns of Black. The trouble being the doubling only hurts black from any winning chances since his pawns on the King side now have little chance of making any advantage there from creation of a passed pawn which is highly unlikely. But this does not help WT since defensively the K-side BL pawns are still functional.
 [ K c7 ]  [ Q c5 + ]  [ K d7 ]  [ b5 ] , [ R e3 e6 ]  At least Arthur doesn't have to stay and protect the d heroïc footman
 [ B b3 ]  [ Q e5 + ]  [ Q e2 ]  [ R h d8 ]  [ Q x e5 ]  [ B x e5 ] , [ O-O ]  So far Black is simplifying to take advantage of the doubled pawn. Although Black has an isolated QBP the disadvantages should at worst cancel. White connects his rooks and attempts to secure his King.
 [ R x d5 ]  [ R x a6 ] , [ R d2 ]  White's forces lack coordination and Black is much more active. Black must be better here. Fritz suggests 39...[ K h6 ] probably to be able to attack with the pawns on the kingside.
 [ N f3 ]  [ N c6 ]  [ B c4 ]  [ f6 ]  [ O-O ] , [ B c5 + ]  Started to develop fast
 [ K x c1 ]  [ R e1 + ]  [ K d2 ]  [ R e2 + ]  [ K c3 ]  [ R e3 + ] , [ K b4 ]  The checks are over white wins.
 [ Q x h7 ] , [ K e8 ]  Preventing the immediate 28.[ Q h8 # ]  [ e4 ]  [ e5 ] , [ N f3 ]  King's knight opening.
 [ N c6 ]  [ d4 ]  [ e5 ]  [ d5 ]  [ N c e7 ]  [ N f3 ]  [ f6 ]  [ N c3 ]  [ a6 ]  [ B e3 ]  [ d6 ]  [ B c4 ]  [ b5 ]  [ B b3 ]  [ g5 ]  [ h3 ]  [ g4 ]  [ h x g4 ] , [ B x g4 ]  Quite pleased so far. Developmentally felt I was much the better though that bishop worries me a little.
 [ B x c6 ]  [ N e5 ]  [ B d5 ] , [ Q h5 ]  This is what I imagined as defending position. The Black LSB is a powerhouse but one diagonal is closed. At this point I was aiming at sacrificing a rook for the LSB hopefully destroying the pawn chain. If White manages to exchange the Queens the DSB and the Knight will give White chances to hold out. If Black gives the DSB for the Knight White's position also improves.
 [ e3 ]  [ e6 ] , [ a3 ]  Another waste of time.
 [ B x f6 ]  [ g x f6 ]  [ N d5 ] , [ Q a5 + ]  [ Q a5 ] ?? Very bad mistake by me. I thought to take the B but i didn't see [ N c7 ]  [ N x f6 + ]  [ K f8 ] , [ N x d7 + ]  White wants to exchange as more as possible cause he's up.
 [ R x a4 ]  [ N c3 ] , [ R a3 ]  ...but they are not necessarily good for me... now look...
 [ K e6 ]  [ N x b6 ] , [ a x b6 ]  Now is the time to assess the situation. White is the rough equivalent of a piece ahead: Rook and pawn for a Knight. But the extra pawn is doubled and a Rook's pawn at that. Further Black's pieces are all nicely centralised with plenty of collaborative potential. White's for the moment remain scattered. And there is that niggling problem of the Black K-side majority well advanced and ready to go if given the chance. I'm not saying Black has enough to hold on even for a draw; but he's got plenty to have a good old crack at it and even maybe turn the tables. White has to tread very carefully and yet play decisively enough not to let slip her own chances to win. Game on!
 [ Q x c6 ]  [ O-O ]  [ R a d8 ]  [ R a c1 ]  [ R d2 ]  [ B f3 ]  [ Q d7 ] , [ c4 ]  ? cedes control of [ d4 ]  [ Q d4 + ]  [ K h1 ] , [ R f2 ]  Black seeks to force more exchanges and force home his c-pawn.
 [ a5 + ]  [ K x a5 ] , [ K x c5 ]  
 [ f3 ] , [ K b4 ]  ...and attack them although I cannot yet take them...
 [ R c6 ]  [ N b8 ] , [ N e5 ]  Again: attacking instead of defending following a tactic which has in this situation no hope for success
 [ N g f3 ] , [ b5 ]  So my usual qside castling is out of question. Now I can try to hold this by playing [ a3 ] but it is kind of passive play neglecting developement... no way.
 [ Q f1 + ] , [ R c1 ]  Black could trade rooks with BxRc1.
 [ d4 ]  [ e6 ]  [ B f4 ]  [ h6 ]  [ N f3 ]  [ d6 ]  [ N b d2 ]  [ N f6 ]  [ h3 ]  [ B e7 ]  [ e4 ]  [ N h7 ]  [ B d3 ] , [ f6 ]  The exceptionally close black's position makes it difficult to attack.
 [ B d2 + ] , [ K c2 ]  
 [ N f6 ]  [ N c3 ] , [ a6 ]  5. ..... [ a6 ] - this move characterises the Sicilian Naijorf. Prepares a [ b5 ] onslaught should I go queenside.
 [ N x c4 ]  [ Q x c4 ]  [ B e6 ] , [ d5 ]  ! I don't know what got into me this game but I made this move with minimal thought. As it turns out it deserves an exclamation mark for the pressure it puts on black and is eventually a very important pawn in allowing 17. [ N x g5 ] to win. If [ B x e5 ] then 14. [ d x e6 ] generating pressure on black's king. (14. ... [ f x e6 ] [ Q x e6 + ] wins a bishop)
 [ N x b3 ]  [ a x b3 ]  [ O-O ] , [ O-O ]  We both Castle
 [ f x e5 ] , [ Q e7 ]  still not enought...i will take the knight and propose queen exchange...
 [ a3 ] , [ B d6 ]  Black maintains an aggressive posture with this bishop.
 [ K f4 ] , [ N x f5 ]  And now black's kingside is perfectly secure white has no perpetual check while black can safely hide on his own back rank or safely block with his knight. And black's pawn at [ a4 ] is clear to advance.
 [ K f3 ] , [ Q g4 + ]  Here I make a play for the [ f5 ] pawn. Perhaps [ Q c3 + ] would have been better with the chance for 2 pawns instead of 1.
 [ R f7 ]  [ B h5 ]  [ g6 ]  [ B x g6 ]  [ h x g6 ]  [ R x g6 + ]  [ K h8 ] , [ Q e2 ]  25. [ Q h5 ] seems the logical progression here giving a nasty check with [ B g7 ] . 24... [ R h7 ] 25. [ Q h5 ] [ R g8 ] seems to prevent 26. [ B h7 ] 26. [ R g7 ] or 26. [ R x g8 ] from bearing fruit so this is my aim for the defence of my corner.
 [ R x f3 ]  [ R h1 + ]  [ B e1 ]  [ R x e1 + ] , [ K d2 ]  Even though the bishops are gone I can stil try for an attempt to win White's weak [ g4 ] pawn because my king is closer than his.
 [ K e8 ]  [ B b5 + ]  [ K f8 ]  [ B x h6 + ]  [ N x h6 ]  [ Q e7 + ]  [ K g8 ] , [ N x f6 # ]  And mate. Black made a few errors in the opening that allowed me to mate. The first was not realizing all possibilities on the board and taking too many risks which allowed me to capture several key pieces. The second was that he quickly lost almost all his pawns and the king had zero protection.
